ID Usuario,Edad,Genero,Fecha,Localidad,Plataforma,Dispositivo,Sistema Operativo,Conexion Exitosa
1452496,60,F,2024-10-13,"Mendoza, Mendoza",Paramount+,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,0
7111765,25,F,2024-04-07,"Rosario, Santa Fe",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
5505522,62,F,2024-02-09,"Córdoba, Córdoba",Amazon Prime,"Smart TV 65"" OLED 4K",Tizen 2.3.2,1
8329702,65,M,2024-07-24,"Salta, Salta",Amazon Prime,"Smart TV 55"" HD LED",Tizen 2.3.2,1
3275861,24,M,2024-11-11,"Salta, Salta",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,1
5787954,31,M,2024-05-19,"San Juan, San Juan",Paramount+,"Smart TV 65"" OLED 4K",Tizen 2.2.1,1
5830567,51,F,2024-02-01,"San Juan, San Juan",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,1
7740370,51,M,2024-03-20,"San Juan, San Juan",Netflix,"Smart TV 55"" HD LED",Tizen 2.2.1,0
6130519,61,M,2024-07-15,"Paraná, Entre Ríos",Disney+,"Smart TV 65"" OLED 4K",Tizen 2.3.2,1
9216533,47,M,2024-10-08,"Trelew, Chubut",Disney+,"Smart TV 55"" HD LED",Tizen 3.0,1
2746451,63,M,2024-08-09,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,1
9170310,39,F,2024-02-07,"Córdoba, Córdoba",Disney+,"Smart TV 55"" UHD 4K",Tizen 4.0,1
7111765,35,M,2024-02-11,"Rosario, Santa Fe",HBO Max,"Smart TV 55"" UHD 4K",Tizen 2.2.1,1
9262898,27,F,2024-08-23,"Trelew, Chubut",Disney+,"Smart TV 65"" OLED 4K",Tizen 4.0,0
6405278,24,M,2024-08-22,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 2.3.2,0
9371790,36,M,2024-05-17,"Córdoba, Córdoba",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,1
3679216,30,F,2024-08-24,"Rosario, Santa Fe",HBO Max,"Smart TV 65"" OLED 4K",Tizen 4.0,0
8763861,41,M,2024-10-11,"Salta, Salta",Disney+,"Smart TV 55"" HD LED",Tizen 2.2.1,1
5585966,43,M,2024-05-14,"Neuquén, Neuquén",Paramount+,"Smart TV 65"" OLED 4K",Tizen 4.0,1
7226007,64,M,2024-12-04,"Neuquén, Neuquén",Paramount+,"Smart TV 55"" HD LED",Tizen 2.2.1,1
2866505,54,M,2024-05-21,"Trelew, Chubut",Netflix,"Smart TV 55"" HD LED",Tizen 2.2.1,1
2681268,40,F,2024-04-10,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 2.2.1,0
3044061,42,F,2024-08-23,"Trelew, Chubut",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,1
1841202,36,F,2024-12-08,"Córdoba, Córdoba",Paramount+,"Smart TV 55"" UHD 4K",Tizen 4.0,1
3800813,47,M,2024-09-05,"San Juan, San Juan",HBO Max,"Smart TV 65"" OLED 4K",Tizen 4.0,1
9170310,51,F,2024-08-24,"Córdoba, Córdoba",HBO Max,"Smart TV 75"" Neo QLED 4K",Tizen 4.0,0
2432737,43,F,2024-11-26,"Córdoba, Córdoba",Disney+,"Smart TV 65"" OLED 4K",Tizen 3.0,1
2745231,26,F,2024-06-05,"Mendoza, Mendoza",Disney+,"Smart TV 55"" HD LED",Tizen 3.0,1
5735746,25,M,2024-04-19,"Paraná, Entre Ríos",HBO Max,"Smart TV 55"" HD LED",Tizen 2.3.2,0
8820803,50,M,2024-07-29,"Trelew, Chubut",Netflix,"Smart TV 55"" HD LED",Tizen 3.0,1
8300874,19,M,2024-02-06,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 75"" Neo QLED 4K",Tizen 2.3.2,0
1206549,29,F,2024-07-15,"La Plata, Buenos Aires",Netflix,"Smart TV 75"" Neo QLED 4K",Tizen 3.0,1
5707831,50,M,2024-04-16,"San Juan, San Juan",Paramount+,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
